query,style,event,budget
find white jeans for party with a low budget and casual look,casual,party,low
find beige blazer for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
find green sneakers for date night with a high budget and formal look,formal,date_night,high
recommend athleisure outfit for travel in blue mid range,athleisure,travel,mid
need a formal kurta suitable for party and under 3000,formal,party,low
"looking for smart casual wear for wedding, around 6000",smart_casual,wedding,mid
"looking for smart casual wear for gym, designer",smart_casual,gym,high
"looking for minimal wear for office, budget friendly",minimal,office,low
"looking for minimal wear for date night, affordable",minimal,date_night,low
find red jacket for office with a high budget and smart casual look,smart_casual,office,high
"looking for smart casual wear for date night, quality for price",smart_casual,date_night,mid
show me blue sneakers in casual style for gym budget friendly,casual,gym,low
"looking for formal wear for daily wear, affordable",formal,daily_wear,low
find navy saree for travel with a mid budget and smart casual look,smart_casual,travel,mid
need a athleisure shirt suitable for office and high end,athleisure,office,high
"looking for ethnic wear for wedding, mid range",ethnic,wedding,mid
"looking for streetwear wear for beach, under 7000",streetwear,beach,mid
recommend ethnic outfit for date night in white under 7000,ethnic,date_night,mid
recommend athleisure outfit for party in navy premium,athleisure,party,high
show me white jacket in minimal style for daily wear mid range,minimal,daily_wear,mid
show me blue dress in ethnic style for daily wear mid range,ethnic,daily_wear,mid
show me green sneakers in formal style for gym mid range,formal,gym,mid
need a ethnic blazer suitable for daily wear and quality for price,ethnic,daily_wear,mid
recommend smart casual outfit for travel in green mid range,smart_casual,travel,mid
recommend ethnic outfit for daily wear in red around 6000,ethnic,daily_wear,mid
recommend minimal outfit for wedding in black affordable,minimal,wedding,low
find blue jacket for office with a high budget and streetwear look,streetwear,office,high
show me beige saree in boho style for wedding quality for price,boho,wedding,mid
need a minimal saree suitable for wedding and premium,minimal,wedding,high
find black kurta for date night with a high budget and athleisure look,athleisure,date_night,high
need a athleisure kurta suitable for travel and mid range,athleisure,travel,mid
find pink jacket for office with a low budget and ethnic look,ethnic,office,low
need a ethnic jacket suitable for party and mid range,ethnic,party,mid
show me green saree in minimal style for daily wear affordable,minimal,daily_wear,low
find beige saree for date night with a low budget and formal look,formal,date_night,low
show me beige blazer in boho style for gym premium,boho,gym,high
find navy saree for beach with a mid budget and athleisure look,athleisure,beach,mid
"looking for boho wear for party, under 3000",boho,party,low
need a formal sneakers suitable for party and below 2500,formal,party,low
need a smart casual blazer suitable for travel and affordable,smart_casual,travel,low
find black kurta for travel with a low budget and minimal look,minimal,travel,low
recommend ethnic outfit for beach in green cheap,ethnic,beach,low
find blue shirt for party with a low budget and casual look,casual,party,low
show me beige heels in formal style for travel under 7000,formal,travel,mid
"looking for boho wear for office, budget friendly",boho,office,low
need a athleisure saree suitable for date night and luxury,athleisure,date_night,high
recommend minimal outfit for party in navy designer,minimal,party,high
need a boho jeans suitable for travel and quality for price,boho,travel,mid
find black jeans for gym with a low budget and minimal look,minimal,gym,low
need a smart casual shirt suitable for wedding and high end,smart_casual,wedding,high
recommend formal outfit for date night in black budget friendly,formal,date_night,low
recommend streetwear outfit for wedding in blue mid range,streetwear,wedding,mid
"looking for streetwear wear for daily wear, cheap",streetwear,daily_wear,low
find blue shirt for travel with a high budget and streetwear look,streetwear,travel,high
find navy jacket for wedding with a high budget and smart casual look,smart_casual,wedding,high
find black sneakers for beach with a low budget and athleisure look,athleisure,beach,low
recommend boho outfit for date night in beige luxury,boho,date_night,high
need a formal jeans suitable for gym and under 7000,formal,gym,mid
find white sneakers for travel with a low budget and casual look,casual,travel,low
find red sneakers for beach with a low budget and formal look,formal,beach,low
recommend casual outfit for wedding in navy under 7000,casual,wedding,mid
"looking for athleisure wear for party, under 7000",athleisure,party,mid
show me white shirt in streetwear style for gym under 3000,streetwear,gym,low
show me navy saree in ethnic style for travel around 6000,ethnic,travel,mid
recommend streetwear outfit for daily wear in white cheap,streetwear,daily_wear,low
find pink heels for beach with a mid budget and streetwear look,streetwear,beach,mid
find navy shirt for office with a low budget and streetwear look,streetwear,office,low
show me black jacket in streetwear style for party premium,streetwear,party,high
show me pink blazer in formal style for travel luxury,formal,travel,high
find black sneakers for wedding with a high budget and boho look,boho,wedding,high
"looking for formal wear for party, designer",formal,party,high
recommend athleisure outfit for date night in beige under 3000,athleisure,date_night,low
show me green dress in streetwear style for gym under 15000,streetwear,gym,high
show me beige sneakers in formal style for office under 3000,formal,office,low
find beige shirt for party with a low budget and ethnic look,ethnic,party,low
find red saree for wedding with a mid budget and casual look,casual,wedding,mid
"looking for smart casual wear for date night, mid range",smart_casual,date_night,mid
show me navy heels in ethnic style for date night budget friendly,ethnic,date_night,low
show me pink sneakers in minimal style for wedding budget friendly,minimal,wedding,low
find pink kurta for travel with a high budget and athleisure look,athleisure,travel,high
find blue kurta for travel with a low budget and ethnic look,ethnic,travel,low
show me white kurta in formal style for beach quality for price,formal,beach,mid
find beige jacket for office with a low budget and ethnic look,ethnic,office,low
show me pink jacket in casual style for wedding mid range,casual,wedding,mid
recommend minimal outfit for travel in white designer,minimal,travel,high
"looking for boho wear for travel, under 3000",boho,travel,low
need a casual shirt suitable for gym and under 3000,casual,gym,low
find green saree for date night with a low budget and smart casual look,smart_casual,date_night,low
"looking for casual wear for travel, cheap",casual,travel,low
"looking for formal wear for travel, cheap",formal,travel,low
"looking for formal wear for daily wear, under 15000",formal,daily_wear,high
find beige saree for travel with a low budget and formal look,formal,travel,low
show me pink jacket in boho style for party under 15000,boho,party,high
recommend casual outfit for gym in navy under 7000,casual,gym,mid
find black saree for office with a mid budget and casual look,casual,office,mid
find black kurta for beach with a high budget and ethnic look,ethnic,beach,high
recommend smart casual outfit for travel in green budget friendly,smart_casual,travel,low
find pink kurta for date night with a low budget and smart casual look,smart_casual,date_night,low
"looking for casual wear for date night, under 7000",casual,date_night,mid
show me green jeans in boho style for wedding high end,boho,wedding,high
need a minimal blazer suitable for party and budget friendly,minimal,party,low
need a smart casual heels suitable for wedding and high end,smart_casual,wedding,high
need a streetwear sneakers suitable for date night and under 7000,streetwear,date_night,mid
find green sneakers for gym with a high budget and casual look,casual,gym,high
need a casual blazer suitable for beach and cheap,casual,beach,low
need a casual shirt suitable for party and under 7000,casual,party,mid
need a ethnic dress suitable for daily wear and under 15000,ethnic,daily_wear,high
need a casual jeans suitable for date night and premium,casual,date_night,high
show me white heels in ethnic style for gym designer,ethnic,gym,high
need a athleisure shirt suitable for daily wear and quality for price,athleisure,daily_wear,mid
show me red saree in athleisure style for gym under 15000,athleisure,gym,high
need a boho saree suitable for gym and below 2500,boho,gym,low
show me green heels in casual style for wedding budget friendly,casual,wedding,low
find black sneakers for date night with a high budget and casual look,casual,date_night,high
"looking for smart casual wear for party, premium",smart_casual,party,high
find black dress for travel with a low budget and streetwear look,streetwear,travel,low
"looking for athleisure wear for gym, luxury",athleisure,gym,high
need a streetwear sneakers suitable for office and under 3000,streetwear,office,low
find navy kurta for date night with a low budget and ethnic look,ethnic,date_night,low
recommend minimal outfit for party in black mid range,minimal,party,mid
recommend smart casual outfit for office in red premium,smart_casual,office,high
find black jacket for office with a low budget and smart casual look,smart_casual,office,low
show me red shirt in athleisure style for travel under 7000,athleisure,travel,mid
recommend ethnic outfit for office in beige cheap,ethnic,office,low
recommend minimal outfit for daily wear in black affordable,minimal,daily_wear,low
"looking for boho wear for daily wear, around 6000",boho,daily_wear,mid
recommend boho outfit for gym in blue budget friendly,boho,gym,low
recommend streetwear outfit for wedding in blue affordable,streetwear,wedding,low
recommend formal outfit for gym in white around 6000,formal,gym,mid
"looking for boho wear for travel, quality for price",boho,travel,mid
"looking for smart casual wear for gym, below 2500",smart_casual,gym,low
show me black kurta in formal style for travel budget friendly,formal,travel,low
recommend minimal outfit for beach in black cheap,minimal,beach,low
find white heels for travel with a high budget and casual look,casual,travel,high
need a streetwear jacket suitable for party and affordable,streetwear,party,low
show me navy jeans in athleisure style for travel around 6000,athleisure,travel,mid
show me black jeans in boho style for gym cheap,boho,gym,low
show me black saree in ethnic style for date night cheap,ethnic,date_night,low
"looking for boho wear for travel, below 2500",boho,travel,low
need a minimal heels suitable for beach and affordable,minimal,beach,low
recommend athleisure outfit for date night in red under 15000,athleisure,date_night,high
recommend streetwear outfit for date night in white mid range,streetwear,date_night,mid
show me white kurta in minimal style for gym mid range,minimal,gym,mid
"looking for ethnic wear for beach, under 7000",ethnic,beach,mid
need a smart casual jeans suitable for daily wear and under 7000,smart_casual,daily_wear,mid
need a streetwear blazer suitable for office and around 6000,streetwear,office,mid
recommend streetwear outfit for beach in black luxury,streetwear,beach,high
show me green dress in casual style for wedding under 7000,casual,wedding,mid
"looking for minimal wear for party, under 15000",minimal,party,high
show me blue jacket in minimal style for daily wear cheap,minimal,daily_wear,low
need a boho jacket suitable for daily wear and quality for price,boho,daily_wear,mid
"looking for athleisure wear for office, around 6000",athleisure,office,mid
find black jeans for wedding with a low budget and casual look,casual,wedding,low
find blue kurta for beach with a high budget and casual look,casual,beach,high
"looking for smart casual wear for office, premium",smart_casual,office,high
find pink dress for wedding with a low budget and athleisure look,athleisure,wedding,low
"looking for smart casual wear for wedding, high end",smart_casual,wedding,high
"looking for athleisure wear for office, affordable",athleisure,office,low
recommend formal outfit for wedding in green around 6000,formal,wedding,mid
"looking for boho wear for travel, quality for price",boho,travel,mid
show me blue blazer in formal style for daily wear designer,formal,daily_wear,high
"looking for smart casual wear for daily wear, under 3000",smart_casual,daily_wear,low
recommend casual outfit for party in black mid range,casual,party,mid
need a minimal dress suitable for daily wear and high end,minimal,daily_wear,high
need a streetwear heels suitable for travel and quality for price,streetwear,travel,mid
"looking for athleisure wear for office, under 3000",athleisure,office,low
show me pink saree in casual style for date night designer,casual,date_night,high
"looking for ethnic wear for daily wear, premium",ethnic,daily_wear,high
need a smart casual jeans suitable for office and high end,smart_casual,office,high
"looking for ethnic wear for party, quality for price",ethnic,party,mid
find beige shirt for office with a mid budget and smart casual look,smart_casual,office,mid
recommend formal outfit for party in red premium,formal,party,high
recommend boho outfit for beach in pink around 6000,boho,beach,mid
show me red sneakers in smart casual style for travel luxury,smart_casual,travel,high
"looking for smart casual wear for wedding, mid range",smart_casual,wedding,mid
show me black blazer in smart casual style for date night mid range,smart_casual,date_night,mid
show me green saree in smart casual style for travel premium,smart_casual,travel,high
need a ethnic sneakers suitable for daily wear and quality for price,ethnic,daily_wear,mid
need a formal heels suitable for daily wear and designer,formal,daily_wear,high
recommend ethnic outfit for gym in blue designer,ethnic,gym,high
find blue blazer for date night with a mid budget and athleisure look,athleisure,date_night,mid
recommend boho outfit for wedding in navy high end,boho,wedding,high
recommend casual outfit for date night in white designer,casual,date_night,high
"looking for formal wear for party, luxury",formal,party,high
"looking for athleisure wear for party, affordable",athleisure,party,low
"looking for athleisure wear for wedding, cheap",athleisure,wedding,low
show me pink saree in athleisure style for wedding premium,athleisure,wedding,high
"looking for streetwear wear for gym, mid range",streetwear,gym,mid
"looking for casual wear for travel, budget friendly",casual,travel,low
show me red jacket in boho style for date night budget friendly,boho,date_night,low
find blue shirt for office with a low budget and athleisure look,athleisure,office,low
recommend minimal outfit for date night in pink premium,minimal,date_night,high
find white dress for beach with a low budget and casual look,casual,beach,low
show me green heels in ethnic style for gym around 6000,ethnic,gym,mid
need a casual kurta suitable for beach and quality for price,casual,beach,mid
need a smart casual blazer suitable for travel and designer,smart_casual,travel,high
show me navy kurta in boho style for gym luxury,boho,gym,high
recommend smart casual outfit for party in pink cheap,smart_casual,party,low
find black jacket for beach with a low budget and athleisure look,athleisure,beach,low
show me red shirt in formal style for beach mid range,formal,beach,mid
need a boho dress suitable for gym and budget friendly,boho,gym,low
"looking for boho wear for daily wear, mid range",boho,daily_wear,mid
show me pink blazer in minimal style for date night mid range,minimal,date_night,mid
show me navy jacket in ethnic style for party mid range,ethnic,party,mid
recommend formal outfit for date night in beige affordable,formal,date_night,low
"looking for streetwear wear for daily wear, mid range",streetwear,daily_wear,mid
need a boho shirt suitable for office and mid range,boho,office,mid
need a boho shirt suitable for party and budget friendly,boho,party,low
recommend casual outfit for party in navy under 15000,casual,party,high
recommend minimal outfit for travel in blue affordable,minimal,travel,low
show me navy saree in ethnic style for daily wear designer,ethnic,daily_wear,high
recommend minimal outfit for daily wear in green quality for price,minimal,daily_wear,mid
show me red kurta in smart casual style for wedding designer,smart_casual,wedding,high
"looking for casual wear for date night, under 7000",casual,date_night,mid
show me blue blazer in smart casual style for travel around 6000,smart_casual,travel,mid
need a athleisure shirt suitable for travel and affordable,athleisure,travel,low
need a athleisure heels suitable for gym and premium,athleisure,gym,high
"looking for minimal wear for beach, cheap",minimal,beach,low
recommend formal outfit for gym in red designer,formal,gym,high
need a athleisure blazer suitable for gym and budget friendly,athleisure,gym,low
show me black jacket in minimal style for travel affordable,minimal,travel,low
recommend athleisure outfit for party in beige affordable,athleisure,party,low
"looking for streetwear wear for gym, mid range",streetwear,gym,mid
need a casual shirt suitable for daily wear and affordable,casual,daily_wear,low
need a formal blazer suitable for beach and budget friendly,formal,beach,low
"looking for formal wear for beach, quality for price",formal,beach,mid
show me black jacket in streetwear style for daily wear under 15000,streetwear,daily_wear,high
find beige dress for office with a mid budget and ethnic look,ethnic,office,mid
find blue jeans for date night with a high budget and boho look,boho,date_night,high
recommend boho outfit for travel in blue under 15000,boho,travel,high
find black jacket for wedding with a low budget and smart casual look,smart_casual,wedding,low
"looking for casual wear for daily wear, high end",casual,daily_wear,high
"looking for smart casual wear for daily wear, luxury",smart_casual,daily_wear,high
recommend athleisure outfit for party in green mid range,athleisure,party,mid
recommend minimal outfit for beach in red high end,minimal,beach,high
"looking for smart casual wear for wedding, luxury",smart_casual,wedding,high
"looking for casual wear for beach, mid range",casual,beach,mid
show me navy sneakers in ethnic style for wedding quality for price,ethnic,wedding,mid
show me red jeans in ethnic style for gym luxury,ethnic,gym,high
recommend smart casual outfit for party in green cheap,smart_casual,party,low
find white saree for beach with a high budget and athleisure look,athleisure,beach,high
show me black shirt in ethnic style for office under 3000,ethnic,office,low
"looking for boho wear for daily wear, high end",boho,daily_wear,high
need a ethnic dress suitable for daily wear and under 3000,ethnic,daily_wear,low
show me pink dress in ethnic style for party luxury,ethnic,party,high
need a casual jacket suitable for gym and affordable,casual,gym,low
find navy blazer for daily wear with a high budget and boho look,boho,daily_wear,high
need a boho kurta suitable for wedding and mid range,boho,wedding,mid
need a formal heels suitable for beach and designer,formal,beach,high
find navy dress for wedding with a high budget and smart casual look,smart_casual,wedding,high
show me green sneakers in streetwear style for beach mid range,streetwear,beach,mid
need a athleisure saree suitable for travel and mid range,athleisure,travel,mid
show me navy blazer in minimal style for office under 15000,minimal,office,high
find beige saree for daily wear with a low budget and ethnic look,ethnic,daily_wear,low
show me blue shirt in casual style for gym designer,casual,gym,high
need a formal shirt suitable for office and cheap,formal,office,low
recommend casual outfit for daily wear in green mid range,casual,daily_wear,mid
find pink saree for date night with a low budget and athleisure look,athleisure,date_night,low
need a casual heels suitable for beach and designer,casual,beach,high
recommend minimal outfit for office in blue cheap,minimal,office,low
find navy sneakers for daily wear with a mid budget and ethnic look,ethnic,daily_wear,mid
"looking for athleisure wear for gym, luxury",athleisure,gym,high
show me black shirt in smart casual style for daily wear mid range,smart_casual,daily_wear,mid
need a athleisure dress suitable for gym and luxury,athleisure,gym,high
find white blazer for travel with a mid budget and casual look,casual,travel,mid
find beige saree for date night with a low budget and casual look,casual,date_night,low
"looking for streetwear wear for office, around 6000",streetwear,office,mid
need a casual kurta suitable for daily wear and under 15000,casual,daily_wear,high
show me white saree in streetwear style for office designer,streetwear,office,high
find pink saree for beach with a low budget and smart casual look,smart_casual,beach,low
"looking for casual wear for party, mid range",casual,party,mid
find navy shirt for travel with a low budget and casual look,casual,travel,low
"looking for smart casual wear for date night, high end",smart_casual,date_night,high
"looking for minimal wear for date night, under 7000",minimal,date_night,mid
need a smart casual saree suitable for travel and luxury,smart_casual,travel,high
find green jacket for office with a high budget and streetwear look,streetwear,office,high
find beige jacket for travel with a low budget and boho look,boho,travel,low
need a athleisure jacket suitable for date night and affordable,athleisure,date_night,low
recommend streetwear outfit for office in white budget friendly,streetwear,office,low
need a smart casual heels suitable for gym and premium,smart_casual,gym,high
recommend streetwear outfit for date night in white under 7000,streetwear,date_night,mid
show me white kurta in athleisure style for daily wear designer,athleisure,daily_wear,high
need a boho saree suitable for wedding and under 7000,boho,wedding,mid
need a smart casual heels suitable for beach and mid range,smart_casual,beach,mid
"looking for streetwear wear for beach, quality for price",streetwear,beach,mid
"looking for formal wear for party, under 3000",formal,party,low
find black dress for party with a mid budget and formal look,formal,party,mid
show me green sneakers in casual style for travel mid range,casual,travel,mid
need a ethnic shirt suitable for beach and mid range,ethnic,beach,mid
"looking for smart casual wear for beach, under 15000",smart_casual,beach,high
find pink kurta for office with a high budget and casual look,casual,office,high
find pink shirt for travel with a mid budget and formal look,formal,travel,mid
need a formal jacket suitable for beach and mid range,formal,beach,mid
"looking for casual wear for date night, mid range",casual,date_night,mid
find green dress for wedding with a mid budget and ethnic look,ethnic,wedding,mid
need a ethnic sneakers suitable for daily wear and under 3000,ethnic,daily_wear,low
find white heels for party with a low budget and casual look,casual,party,low
need a formal kurta suitable for daily wear and around 6000,formal,daily_wear,mid
show me pink jacket in minimal style for travel designer,minimal,travel,high
show me blue jeans in minimal style for gym designer,minimal,gym,high
need a casual blazer suitable for beach and below 2500,casual,beach,low
show me navy jacket in minimal style for wedding cheap,minimal,wedding,low
need a ethnic blazer suitable for travel and high end,ethnic,travel,high
recommend streetwear outfit for gym in green luxury,streetwear,gym,high
show me black jeans in minimal style for wedding under 3000,minimal,wedding,low
recommend ethnic outfit for gym in green under 7000,ethnic,gym,mid
need a formal kurta suitable for party and designer,formal,party,high
"looking for boho wear for party, around 6000",boho,party,mid
recommend smart casual outfit for party in beige below 2500,smart_casual,party,low
need a boho sneakers suitable for party and budget friendly,boho,party,low
find navy heels for party with a high budget and formal look,formal,party,high
need a ethnic kurta suitable for date night and cheap,ethnic,date_night,low
recommend streetwear outfit for gym in pink budget friendly,streetwear,gym,low
show me blue kurta in ethnic style for office mid range,ethnic,office,mid
recommend smart casual outfit for wedding in blue designer,smart_casual,wedding,high
find navy jeans for wedding with a high budget and smart casual look,smart_casual,wedding,high
show me red jacket in boho style for gym under 15000,boho,gym,high
find blue kurta for gym with a mid budget and casual look,casual,gym,mid
recommend boho outfit for party in pink under 15000,boho,party,high
find red heels for beach with a low budget and casual look,casual,beach,low
find green shirt for party with a mid budget and casual look,casual,party,mid
find pink kurta for date night with a high budget and ethnic look,ethnic,date_night,high
"looking for formal wear for party, under 7000",formal,party,mid
"looking for casual wear for gym, affordable",casual,gym,low
find red blazer for wedding with a high budget and formal look,formal,wedding,high
find red heels for daily wear with a high budget and ethnic look,ethnic,daily_wear,high
find blue shirt for travel with a mid budget and minimal look,minimal,travel,mid
find red dress for wedding with a low budget and boho look,boho,wedding,low
"looking for minimal wear for travel, below 2500",minimal,travel,low
find pink kurta for daily wear with a low budget and casual look,casual,daily_wear,low
"looking for streetwear wear for travel, quality for price",streetwear,travel,mid
need a streetwear blazer suitable for wedding and under 15000,streetwear,wedding,high
find navy blazer for office with a mid budget and athleisure look,athleisure,office,mid
recommend formal outfit for office in red under 3000,formal,office,low
show me blue saree in athleisure style for gym designer,athleisure,gym,high
need a athleisure blazer suitable for travel and budget friendly,athleisure,travel,low
show me white kurta in casual style for date night under 3000,casual,date_night,low
show me red blazer in smart casual style for beach quality for price,smart_casual,beach,mid
"looking for streetwear wear for date night, high end",streetwear,date_night,high
show me navy jeans in minimal style for travel around 6000,minimal,travel,mid
need a streetwear jacket suitable for wedding and quality for price,streetwear,wedding,mid
need a streetwear shirt suitable for beach and designer,streetwear,beach,high
find navy jacket for party with a low budget and minimal look,minimal,party,low
show me white kurta in minimal style for wedding affordable,minimal,wedding,low
need a formal jacket suitable for daily wear and under 7000,formal,daily_wear,mid
find beige saree for beach with a low budget and formal look,formal,beach,low
need a minimal jeans suitable for date night and below 2500,minimal,date_night,low
show me white jacket in formal style for wedding cheap,formal,wedding,low
recommend minimal outfit for wedding in blue under 15000,minimal,wedding,high
find blue heels for beach with a high budget and formal look,formal,beach,high
need a streetwear shirt suitable for office and mid range,streetwear,office,mid
"looking for smart casual wear for wedding, under 7000",smart_casual,wedding,mid
find black dress for party with a low budget and ethnic look,ethnic,party,low
need a boho jeans suitable for gym and below 2500,boho,gym,low
need a streetwear jeans suitable for office and under 3000,streetwear,office,low
recommend casual outfit for beach in black premium,casual,beach,high
find pink jeans for date night with a low budget and athleisure look,athleisure,date_night,low
recommend smart casual outfit for wedding in black mid range,smart_casual,wedding,mid
need a casual jeans suitable for office and around 6000,casual,office,mid
find pink shirt for gym with a low budget and streetwear look,streetwear,gym,low
recommend boho outfit for gym in green affordable,boho,gym,low
show me black jeans in athleisure style for beach mid range,athleisure,beach,mid
"looking for ethnic wear for beach, under 3000",ethnic,beach,low
show me blue dress in athleisure style for daily wear budget friendly,athleisure,daily_wear,low
find beige jeans for travel with a low budget and smart casual look,smart_casual,travel,low
find black jeans for gym with a low budget and athleisure look,athleisure,gym,low
"looking for streetwear wear for gym, around 6000",streetwear,gym,mid
"looking for formal wear for gym, premium",formal,gym,high
recommend minimal outfit for beach in pink quality for price,minimal,beach,mid
need a casual sneakers suitable for beach and high end,casual,beach,high
need a formal heels suitable for travel and under 7000,formal,travel,mid
recommend minimal outfit for gym in green quality for price,minimal,gym,mid
show me white kurta in boho style for office affordable,boho,office,low
recommend boho outfit for party in white cheap,boho,party,low
recommend formal outfit for office in white quality for price,formal,office,mid
find blue shirt for daily wear with a mid budget and casual look,casual,daily_wear,mid
find pink sneakers for gym with a low budget and smart casual look,smart_casual,gym,low
"looking for boho wear for wedding, luxury",boho,wedding,high
show me navy kurta in athleisure style for gym around 6000,athleisure,gym,mid
show me navy kurta in boho style for office under 7000,boho,office,mid
find red heels for date night with a high budget and streetwear look,streetwear,date_night,high
find green sneakers for travel with a low budget and athleisure look,athleisure,travel,low
recommend formal outfit for daily wear in red under 7000,formal,daily_wear,mid
need a ethnic dress suitable for gym and under 7000,ethnic,gym,mid
need a casual heels suitable for date night and under 15000,casual,date_night,high
"looking for ethnic wear for date night, around 6000",ethnic,date_night,mid
"looking for minimal wear for party, under 7000",minimal,party,mid
find white dress for travel with a mid budget and boho look,boho,travel,mid
show me red blazer in minimal style for daily wear cheap,minimal,daily_wear,low
show me black jacket in smart casual style for travel cheap,smart_casual,travel,low
need a boho blazer suitable for wedding and mid range,boho,wedding,mid
need a formal shirt suitable for party and quality for price,formal,party,mid
find green heels for office with a high budget and boho look,boho,office,high
need a ethnic dress suitable for travel and under 15000,ethnic,travel,high
"looking for smart casual wear for office, around 6000",smart_casual,office,mid
find red jeans for daily wear with a low budget and formal look,formal,daily_wear,low
find pink blazer for office with a high budget and formal look,formal,office,high
recommend formal outfit for wedding in green cheap,formal,wedding,low
find navy sneakers for daily wear with a mid budget and athleisure look,athleisure,daily_wear,mid
show me green kurta in boho style for gym budget friendly,boho,gym,low
show me beige blazer in formal style for travel cheap,formal,travel,low
recommend boho outfit for date night in blue affordable,boho,date_night,low
recommend ethnic outfit for beach in blue mid range,ethnic,beach,mid
"looking for boho wear for office, budget friendly",boho,office,low
need a formal kurta suitable for beach and designer,formal,beach,high
find black jeans for office with a mid budget and streetwear look,streetwear,office,mid
need a streetwear kurta suitable for office and premium,streetwear,office,high
find navy saree for office with a low budget and minimal look,minimal,office,low
show me black shirt in boho style for beach designer,boho,beach,high
recommend smart casual outfit for beach in black high end,smart_casual,beach,high
find green heels for travel with a mid budget and smart casual look,smart_casual,travel,mid
find navy kurta for travel with a low budget and formal look,formal,travel,low
find beige shirt for travel with a low budget and streetwear look,streetwear,travel,low
need a smart casual heels suitable for date night and high end,smart_casual,date_night,high
find red saree for wedding with a high budget and athleisure look,athleisure,wedding,high
need a streetwear jeans suitable for wedding and under 7000,streetwear,wedding,mid
show me pink saree in formal style for office mid range,formal,office,mid
show me green jeans in minimal style for beach luxury,minimal,beach,high
"looking for smart casual wear for date night, high end",smart_casual,date_night,high
show me white kurta in smart casual style for date night under 15000,smart_casual,date_night,high
need a ethnic shirt suitable for beach and premium,ethnic,beach,high
recommend minimal outfit for wedding in red cheap,minimal,wedding,low
need a streetwear kurta suitable for daily wear and under 3000,streetwear,daily_wear,low
recommend formal outfit for travel in white below 2500,formal,travel,low
show me blue kurta in smart casual style for beach quality for price,smart_casual,beach,mid
need a formal sneakers suitable for beach and under 15000,formal,beach,high
find navy sneakers for daily wear with a low budget and casual look,casual,daily_wear,low
recommend streetwear outfit for gym in green mid range,streetwear,gym,mid
find white jeans for travel with a mid budget and athleisure look,athleisure,travel,mid
show me red saree in ethnic style for wedding quality for price,ethnic,wedding,mid
show me red kurta in casual style for travel under 3000,casual,travel,low
recommend minimal outfit for gym in white quality for price,minimal,gym,mid
show me black kurta in athleisure style for office designer,athleisure,office,high
"looking for casual wear for wedding, around 6000",casual,wedding,mid
find red jacket for date night with a low budget and boho look,boho,date_night,low
recommend casual outfit for daily wear in red under 3000,casual,daily_wear,low
need a streetwear shirt suitable for beach and under 15000,streetwear,beach,high
show me green dress in boho style for party designer,boho,party,high
"looking for streetwear wear for office, designer",streetwear,office,high
recommend formal outfit for beach in navy quality for price,formal,beach,mid
show me pink kurta in boho style for daily wear affordable,boho,daily_wear,low
find blue jacket for party with a high budget and streetwear look,streetwear,party,high
recommend formal outfit for beach in red around 6000,formal,beach,mid
find red shirt for office with a low budget and streetwear look,streetwear,office,low
recommend formal outfit for date night in red affordable,formal,date_night,low
need a formal jacket suitable for daily wear and premium,formal,daily_wear,high
find navy dress for travel with a high budget and smart casual look,smart_casual,travel,high
"looking for minimal wear for beach, below 2500",minimal,beach,low
"looking for formal wear for date night, around 6000",formal,date_night,mid
need a streetwear jeans suitable for daily wear and high end,streetwear,daily_wear,high
find white jacket for wedding with a low budget and casual look,casual,wedding,low
"looking for ethnic wear for party, under 15000",ethnic,party,high
recommend boho outfit for party in navy below 2500,boho,party,low
need a athleisure shirt suitable for beach and under 15000,athleisure,beach,high
show me navy saree in streetwear style for office high end,streetwear,office,high
recommend formal outfit for travel in black under 7000,formal,travel,mid
find green dress for wedding with a high budget and formal look,formal,wedding,high
need a formal kurta suitable for wedding and cheap,formal,wedding,low
need a minimal kurta suitable for daily wear and quality for price,minimal,daily_wear,mid
find pink kurta for daily wear with a high budget and streetwear look,streetwear,daily_wear,high
find pink jacket for wedding with a mid budget and streetwear look,streetwear,wedding,mid
"looking for streetwear wear for gym, under 15000",streetwear,gym,high
find green jacket for date night with a mid budget and casual look,casual,date_night,mid
find red saree for party with a mid budget and minimal look,minimal,party,mid
need a ethnic kurta suitable for date night and budget friendly,ethnic,date_night,low
"looking for ethnic wear for daily wear, mid range",ethnic,daily_wear,mid
show me red kurta in boho style for travel quality for price,boho,travel,mid
"looking for streetwear wear for daily wear, around 6000",streetwear,daily_wear,mid
recommend athleisure outfit for office in green mid range,athleisure,office,mid
need a casual saree suitable for wedding and under 7000,casual,wedding,mid
"looking for formal wear for daily wear, high end",formal,daily_wear,high
find red dress for date night with a low budget and formal look,formal,date_night,low
"looking for streetwear wear for wedding, luxury",streetwear,wedding,high
need a casual jacket suitable for travel and under 3000,casual,travel,low
show me beige saree in athleisure style for office designer,athleisure,office,high
"looking for casual wear for date night, cheap",casual,date_night,low
"looking for streetwear wear for party, luxury",streetwear,party,high
recommend minimal outfit for office in beige affordable,minimal,office,low
find pink shirt for gym with a low budget and boho look,boho,gym,low
need a ethnic jacket suitable for gym and quality for price,ethnic,gym,mid
find black jacket for beach with a low budget and boho look,boho,beach,low
show me red jacket in casual style for gym mid range,casual,gym,mid
show me pink dress in casual style for date night cheap,casual,date_night,low
find red heels for beach with a high budget and athleisure look,athleisure,beach,high
